John,Cornyn,Texas
Joe,Barton,Texas
Kevin,Brady,Texas
Michael,Burgess,Texas
John,Carter,Texas
K.,Conaway,Texas
John,Culberson,Texas
Lloyd,Doggett,Texas
Blake,Farenthold,Texas
Bill,Flores,Texas
Charles,Boustany,Louisiana
Bill,Cassidy,Louisiana
John,Fleming,Louisiana
Cedric,Richmond,Louisiana
Steve,Scalise,Louisiana
David,Vitter,Louisiana
Ralph,Abraham,Louisiana
Tom,Udall,New Mexico
Martin,Heinrich,New Mexico
Ben Ray,Lujan,New Mexico
Stevan,Pearce,New Mexico
Michelle Lujan,Grisham,New Mexico
,undefined,
,undefined,
,undefined,undefined
